name,party,BT-Period
Christian Sauter,FDP,20
Ulrike Schielke-Ziesing,AfD,20
Nils Schmid,SPD,20
Stefan Schmidt,GRÜNE,20
Uwe Schmidt,SPD,20
Jörg Schneider,AfD,20
Johannes Schraps,SPD,20
Felix Schreiner,CDU,20
Michael Schrodi,SPD,20
Uwe Schulz,AfD,20
Matthias Seestern-Pauly,FDP,20
Thomas Seitz,AfD,20
Martin Sichert,AfD,20
Björn Simon,CDU,20
Dirk Spaniel,AfD,20
René Springer,AfD,20
Katrin Staffler,CSU,20
Bettina Stark-Watzinger,FDP,20
Mathias Stein,SPD,20
Beatrix Storch,AfD,20
Marie-Agnes Strack-Zimmermann,FDP,20
Benjamin Strasser,FDP,20
Jessica Tatti,BSW,20
Hermann-Josef Tebroke,CDU,20
Linda Teuteberg,FDP,20
Michael Theurer,FDP,20
Hans-Jürgen Thies,CDU,20
Alexander Throm,CDU,20
Markus Töns,SPD,20
Andrew Ullmann,FDP,20
Gerald Ullrich,FDP,20
Kerstin Vieregge,CDU,20
Christoph Vries,CDU,20
Sandra Weeser,FDP,20
Alice Weidel,AfD,20
Nicole Westig,FDP,20
Harald Weyel,AfD,20
Wolfgang Wiehle,AfD,20
Christian Wirth,AfD,20
Uwe Witt,Plos,20
Paul Ziemiak,CDU,20
Gyde Jensen,FDP,20
Marja-Liisa Völlers,SPD,20
Nezahat Baradari,SPD,20
Peter Heidt,FDP,20
Isabel Mackensen,SPD,20
Isabel Mackensen-Geis,SPD,20
Joe Weingarten,SPD,20
Reginald Hanke,FDP,20
Sylvia Lehmann,SPD,20
Sandra Bubendorfer-Licht,FDP,20
Dorothee Martin,SPD,20
Janosch Dahmen,GRÜNE,20
Marcel Emmerich,GRÜNE,20
Sanae Abdi,SPD,20
Valentin Abel,FDP,20
Knut Abraham,CDU,20
Katja Adler,FDP,20
Stephanie Aeffner,GRÜNE,20
Adis Ahmetovic,SPD,20
Reem Alabali-Radovan,SPD,20
Ali Al-Dailami,Plos,20
Muhanad Al-Halak,FDP,20
Dagmar Andres,SPD,20
Johannes Arlt,SPD,20
Andreas Audretsch,GRÜNE,20
Maik Außendorf,GRÜNE,20
Tobias Bacherle,GRÜNE,20
Tobias B. Bacherle,GRÜNE,20
Carolin Bachmann,AfD,20
Daniel Baldy,SPD,20
Felix Banaszak,GRÜNE,20
Karl Bär,GRÜNE,20
Christina Baum,AfD,20
Katharina Beck,GRÜNE,20
Roger Beckamp,AfD,20
Holger Becker,SPD,20
Lukas Benner,GRÜNE,20
Jürgen Berghahn,SPD,20
Bengt Bergt,SPD,20
Jakob Blankenburg,SPD,20
René Bochmann,AfD,20
Ingo Bodtke,FDP,20
Friedhelm Boginski,FDP,20
Gereon Bollmann,AfD,20
Simone Borchardt,CDU,20
Dirk Brandes,AfD,20
